Group,SubCommodity,Date,Price_USD
Rice,"Vietnam 5% Broken, Ho Chi Minh",28/07/2026,431.0
Rice,"Thailand 5% Broken, Bangkok",27/07/2026,450.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",27/07/2026,431.0
Rice,"Thailand 5% Broken, Bangkok",24/07/2026,450.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",24/07/2026,430.0
Rice,"Thailand 5% Broken, Bangkok",23/07/2026,447.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",23/07/2026,431.0
Rice,"Thailand 5% Broken, Bangkok",22/07/2026,448.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",22/07/2026,431.0
Rice,"Thailand 5% Broken, Bangkok",21/07/2026,448.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",21/07/2026,428.0
Rice,"Thailand 5% Broken, Bangkok",20/07/2026,449.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",20/07/2026,428.0
Rice,"Thailand 5% Broken, Bangkok",17/07/2026,445.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",17/07/2026,425.0
Rice,"Thailand 5% Broken, Bangkok",16/07/2026,445.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",16/07/2026,425.0
